date,day_of_week,month,ward_occupancy,icu_occupancy
2025-08-21,3,8,26,4
2025-08-22,4,8,29,2
2025-08-23,5,8,13,1
2025-08-24,6,8,12,1
2025-08-25,0,8,23,3
2025-08-26,1,8,27,4
2025-08-27,2,8,25,2
2025-08-28,3,8,23,4
2025-08-29,4,8,26,2
2025-08-30,5,8,15,1
2025-08-31,6,8,17,2
2025-09-01,0,9,22,1
2025-09-02,1,9,24,2
2025-09-03,2,9,23,1
2025-09-04,3,9,20,6
2025-09-05,4,9,25,3
2025-09-06,5,9,15,1
2025-09-07,6,9,15,2
2025-09-08,0,9,24,3
2025-09-09,1,9,20,3
2025-09-10,2,9,23,4
2025-09-11,3,9,23,4
2025-09-12,4,9,22,2
2025-09-13,5,9,14,1
2025-09-14,6,9,16,2
2025-09-15,0,9,30,1
2025-09-16,1,9,25,1
2025-09-17,2,9,25,5
2025-09-18,3,9,24,5
2025-09-19,4,9,19,3
2025-09-20,5,9,14,3
2025-09-21,6,9,15,2
2025-09-22,0,9,32,8
2025-09-23,1,9,24,5
2025-09-24,2,9,25,3
2025-09-25,3,9,24,2
2025-09-26,4,9,21,1
2025-09-27,5,9,18,2
2025-09-28,6,9,17,1
2025-09-29,0,9,27,1
2025-09-30,1,9,22,2
2025-10-01,2,10,29,1
2025-10-02,3,10,20,6
2025-10-03,4,10,26,4
2025-10-04,5,10,21,2
2025-10-05,6,10,12,4
2025-10-06,0,10,23,3
2025-10-07,1,10,25,2
2025-10-08,2,10,23,5
2025-10-09,3,10,20,4
2025-10-10,4,10,25,1
2025-10-11,5,10,11,2
2025-10-12,6,10,16,1
2025-10-13,0,10,22,1
2025-10-14,1,10,29,4
2025-10-15,2,10,22,6
2025-10-16,3,10,24,1
2025-10-17,4,10,27,4
2025-10-18,5,10,11,1
2025-10-19,6,10,15,1
2025-10-20,0,10,28,2
2025-10-21,1,10,20,2
2025-10-22,2,10,25,3
2025-10-23,3,10,25,2
2025-10-24,4,10,27,3
2025-10-25,5,10,11,2
2025-10-26,6,10,11,2
2025-10-27,0,10,26,2
2025-10-28,1,10,25,2
2025-10-29,2,10,25,4
2025-10-30,3,10,26,4
2025-10-31,4,10,22,2
2025-11-01,5,11,30,7
2025-11-02,6,11,30,8
2025-11-03,0,11,35,5
2025-11-04,1,11,35,8
2025-11-05,2,11,35,7
2025-11-06,3,11,35,8
2025-11-07,4,11,35,6
2025-11-08,5,11,27,4
2025-11-09,6,11,32,4
2025-11-10,0,11,35,8
2025-11-11,1,11,35,8
2025-11-12,2,11,35,6
2025-11-13,3,11,35,8
2025-11-14,4,11,35,5
2025-11-15,5,11,35,6
2025-11-16,6,11,29,5
2025-11-17,0,11,35,7
2025-11-18,1,11,35,8
2025-11-19,2,11,35,6
2025-11-20,3,11,35,7
2025-11-21,4,11,35,9
2025-11-22,5,11,30,6
2025-11-23,6,11,32,8
2025-11-24,0,11,35,6
2025-11-25,1,11,35,8
2025-11-26,2,11,35,10
2025-11-27,3,11,35,4
2025-11-28,4,11,35,6
2025-11-29,5,11,27,7
2025-11-30,6,11,26,6
2025-12-01,0,12,35,8
2025-12-02,1,12,35,7
2025-12-03,2,12,35,8
2025-12-04,3,12,35,7
2025-12-05,4,12,35,9
2025-12-06,5,12,27,7
2025-12-07,6,12,25,7
2025-12-08,0,12,35,7
2025-12-09,1,12,35,7
2025-12-10,2,12,35,7
2025-12-11,3,12,35,8
2025-12-12,4,12,35,7
2025-12-13,5,12,31,7
2025-12-14,6,12,27,10
2025-12-15,0,12,35,9
2025-12-16,1,12,35,7
2025-12-17,2,12,35,9
2025-12-18,3,12,35,7
2025-12-19,4,12,35,4
2025-12-20,5,12,33,5
2025-12-21,6,12,33,4
2025-12-22,0,12,35,7
2025-12-23,1,12,35,8
2025-12-24,2,12,35,10
2025-12-25,3,12,35,8
2025-12-26,4,12,35,7
2025-12-27,5,12,35,8
2025-12-28,6,12,31,3
2025-12-29,0,12,35,8
2025-12-30,1,12,35,9
2025-12-31,2,12,35,5
2026-01-01,3,1,35,9
2026-01-02,4,1,35,8
2026-01-03,5,1,27,6
2026-01-04,6,1,29,7
2026-01-05,0,1,35,10
2026-01-06,1,1,35,8
2026-01-07,2,1,35,8
2026-01-08,3,1,34,7
2026-01-09,4,1,35,6
2026-01-10,5,1,25,8
2026-01-11,6,1,28,5
2026-01-12,0,1,35,8
2026-01-13,1,1,35,7
2026-01-14,2,1,35,8
2026-01-15,3,1,35,8
2026-01-16,4,1,35,9
2026-01-17,5,1,27,6
2026-01-18,6,1,30,6
2026-01-19,0,1,35,6
2026-01-20,1,1,35,7
2026-01-21,2,1,35,8
2026-01-22,3,1,35,9
2026-01-23,4,1,33,6
2026-01-24,5,1,30,8
2026-01-25,6,1,28,9
2026-01-26,0,1,35,8
2026-01-27,1,1,35,10
2026-01-28,2,1,35,6
2026-01-29,3,1,35,6
2026-01-30,4,1,35,5
2026-01-31,5,1,26,9
2026-02-01,6,2,28,7
2026-02-02,0,2,35,7
2026-02-03,1,2,35,8
2026-02-04,2,2,35,6
2026-02-05,3,2,35,10
2026-02-06,4,2,35,8
2026-02-07,5,2,32,7
2026-02-08,6,2,35,8
2026-02-09,0,2,35,8
2026-02-10,1,2,35,8
2026-02-11,2,2,35,6
2026-02-12,3,2,35,8
2026-02-13,4,2,35,10
2026-02-14,5,2,31,9
2026-02-15,6,2,32,9
2026-02-16,0,2,35,7
2026-02-17,1,2,35,6
2026-02-18,2,2,30,7
2026-02-19,3,2,35,8
2026-02-20,4,2,35,9
2026-02-21,5,2,26,4
2026-02-22,6,2,34,9
2026-02-23,0,2,35,7
2026-02-24,1,2,35,7
2026-02-25,2,2,35,6
2026-02-26,3,2,35,5
2026-02-27,4,2,35,9
2026-02-28,5,2,33,7
2026-03-01,6,3,15,1
2026-03-02,0,3,22,1
2026-03-03,1,3,26,2
2026-03-04,2,3,25,6
2026-03-05,3,3,23,3
2026-03-06,4,3,25,1
2026-03-07,5,3,13,2
2026-03-08,6,3,15,2
2026-03-09,0,3,26,1
2026-03-10,1,3,29,3
2026-03-11,2,3,21,3
2026-03-12,3,3,31,4
2026-03-13,4,3,19,6
2026-03-14,5,3,14,4
2026-03-15,6,3,16,2
2026-03-16,0,3,25,1
2026-03-17,1,3,23,7
2026-03-18,2,3,24,3
2026-03-19,3,3,23,3
2026-03-20,4,3,23,3
2026-03-21,5,3,17,2
2026-03-22,6,3,16,2
2026-03-23,0,3,22,2
2026-03-24,1,3,27,2
2026-03-25,2,3,25,3
2026-03-26,3,3,27,2
2026-03-27,4,3,26,2
2026-03-28,5,3,12,2
2026-03-29,6,3,13,2
2026-03-30,0,3,27,5
2026-03-31,1,3,26,1
2026-04-01,2,4,24,5
2026-04-02,3,4,25,5
2026-04-03,4,4,28,1
2026-04-04,5,4,13,1
2026-04-05,6,4,16,1
2026-04-06,0,4,24,1
2026-04-07,1,4,24,2
2026-04-08,2,4,28,1
2026-04-09,3,4,27,6
2026-04-10,4,4,27,4
2026-04-11,5,4,18,4
2026-04-12,6,4,15,3
2026-04-13,0,4,27,1
2026-04-14,1,4,24,2
2026-04-15,2,4,25,4
2026-04-16,3,4,24,1
2026-04-17,4,4,25,4
2026-04-18,5,4,16,2
2026-04-19,6,4,12,1
2026-04-20,0,4,31,4
2026-04-21,1,4,21,4
2026-04-22,2,4,21,2
2026-04-23,3,4,28,5
2026-04-24,4,4,27,1
2026-04-25,5,4,16,3
2026-04-26,6,4,16,3
2026-04-27,0,4,24,3
2026-04-28,1,4,22,3
2026-04-29,2,4,25,1
2026-04-30,3,4,22,4
2026-05-01,4,5,27,3
2026-05-02,5,5,14,1
2026-05-03,6,5,12,4
2026-05-04,0,5,24,2
2026-05-05,1,5,26,1
2026-05-06,2,5,23,1
2026-05-07,3,5,22,4
2026-05-08,4,5,25,1
2026-05-09,5,5,15,5
2026-05-10,6,5,13,1
2026-05-11,0,5,23,6
2026-05-12,1,5,25,3
2026-05-13,2,5,20,3
2026-05-14,3,5,20,2
2026-05-15,4,5,22,4
2026-05-16,5,5,14,2
2026-05-17,6,5,15,4
2026-05-18,0,5,29,3
2026-05-19,1,5,27,3
2026-05-20,2,5,24,2
2026-05-21,3,5,24,3
2026-05-22,4,5,21,3
2026-05-23,5,5,14,1
2026-05-24,6,5,14,1
2026-05-25,0,5,25,4
2026-05-26,1,5,22,3
2026-05-27,2,5,26,3
2026-05-28,3,5,29,3
2026-05-29,4,5,24,4
2026-05-30,5,5,16,1
2026-05-31,6,5,17,1
